,Source,Target,Weight
1706,Jafnhar,Biflinde,2.0
1707,Jafnhar,Gondler,2.0
1708,Jafnhar,Harbard,2.0
1709,Jafnhar,Svidur,2.0
1710,Biflinde,Gondler,2.0
1711,Biflinde,Harbard,2.0
1712,Biflinde,Svidur,2.0
1713,Gondler,Harbard,2.0
1714,Gondler,Svidur,2.0
1715,Harbard,Svidur,2.0
1718,Jalk,Thund,2.0
1719,Jalk,Names,2.0
1723,Thund,Names,2.0
1727,Har,Thor,2.0
1729,Thrudvang,Hall,2.0
1739,Thereupon,Asas,2.0
1740,Thereupon,Odin,2.0
1741,Honer,Gods,2.0
1742,Honer,Daughter,2.0
1743,Njord,Father,2.0
1744,Skade,Daughter,2.0
1751,Skade,Son,2.0
1752,Noatun,Name,2.0
1753,Noatun,Frey,2.0
1754,Freyja,Frey,2.0
1759,Freyja,Day,2.0
1765,Fenris-wolf,Place,2.0
1766,Fenris-wolf,Wolf,2.0
1767,Fenris-wolf,Tyr,2.0
1770,Brage,Name,2.0
1771,Idun,Gods,2.0
1772,Heimdal,Name,2.0
1775,Himinbjorg,Gods,2.0
1776,Heimdal,Himinbjorg,2.0
1779,Heimdal,Gods,2.0
1782,Vale,Odin,2.0
1783,Vale,Uller,2.0
1784,Uller,Name,2.0
1786,Forsete,Balder,2.0
1787,Forsete,Nanna,2.0
1788,Forsete,Hall,2.0
1789,Balder,Nep,2.0
1791,Nanna,Nep,2.0
1792,Nanna,Daughter,2.0
1793,Nanna,Hall,2.0
1797,Loke,Men,2.0
1798,Narfe,Loke,2.0
1799,Narfe,Children,2.0
1800,Loke,Children,2.0
1801,Loke,Giantess,2.0
1802,Loke,Jotunheim,2.0
1803,Jotunheim,Fenris-wolf,2.0
1805,Hel,Jotunheim,2.0
1814,Gefjun,Fulla,2.0
1815,Freyja,Daughter,2.0
1822,Freyja,Gold,2.0
1825,Frigg,Way,2.0
1828,Gna,Air,2.0
1829,Hofvarpner,Air,2.0
1830,Hofvarpner,Gna,2.0
1831,Valhal,Lay,2.0
1832,Skogul,Hild,2.0
1833,Skuld,Mother,2.0
1834,Jord,Mother,2.0
1836,Thor,Chapter,2.0
1837,Thor,Gerd,2.0
1840,Vale,Gerd,2.0
1843,Skirner,Journey,2.0
1846,Frey,Ganglere,2.0
1848,Frey,Hand,2.0
1870,Grimner,Time,2.0
1871,Skidbladner,Asas,2.0
1875,Freyja,Sun,2.0
1876,Loke,Day,2.0
1877,Loke,Night,2.0
1880,Freyja,Jotunheim,2.0
1881,Freyja,Air,2.0
1882,Loke,Way,2.0
1884,Thor,Sun,2.0
1885,Thor,Ganglere,2.0
1886,Skidbladner,Ship,2.0
1887,Frey,Ship,2.0
1891,Thjalfe,Name,2.0
1894,Thor,Morning,2.0
1896,Loke,Thjalfe,2.0
1905,Skrymer,Hammer,2.0
1931,Thor,Har,2.0
1939,Hymer,Serpent,2.0
1941,Thor,Footnote,2.0
1942,Thor,Edda,2.0
1943,Ymer,Edda,2.0
1944,Ymer,Chapter,2.0
1945,Edda,Hymer,2.0
1946,Edda,Death,2.0
1947,Edda,Balder,2.0
1948,Hymer,Asas,2.0
1952,Balder,Woman,2.0
1954,Balder,Valhal,2.0
1956,Hoder,Loke,2.0
1958,Hel,Home,2.0
1959,Balder,Asgard,2.0
1960,Asgard,Hermod,2.0
1962,Sleipner,Balder,2.0
1963,Hermod,Asas,2.0
1964,Balder,Ship,2.0
1968,Odin,Berserks,2.0
1970,Frigg,Frey,2.0
